Municipality,ST,2024 estimate,2020 census,2020 land area mi2,2020 density mi2,Type,lat,long
Frisco,TX,235208,200509,68.6,2923,City,33.16,-96.82
Richmond,VA,233655,226610,59.9,3783,State capital,37.53,-77.48
Cape Coral,FL,233025,194016,106,1830,City,26.65,-81.99
Norfolk,VA,231105,238005,53.3,4465,City,36.92,-76.24
Spokane,WA,230609,228989,68.8,3328,City,47.67,-117.43
Huntsville,AL,230402,215006,218.1,986,State's largest municipality,34.78,-86.53
Santa Clarita,CA,229159,228673,70.8,3230,City,34.41,-118.49
Tacoma,WA,228202,219346,49.7,4413,City,47.25,-122.46
Fremont,CA,228192,230504,78.3,2944,City,37.49,-121.94
McKinney,TX,227526,195308,67,2915,City,33.2,-96.66
San Bernardino,CA,224775,222101,62.1,3577,City,34.14,-117.29
Baton Rouge,LA,220907,227470,86.3,2636,State capital,30.44,-91.13
Modesto,CA,220592,218464,43,5081,City,37.64,-121
Fontana,CA,218455,208393,43.1,4835,City,34.11,-117.46
